Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
256 500 run 5,95.8,"803,654",15,"53,576.9","53,152","55,424",Kernel Time
256 5000 run 1,96.0,"804,618",15,"53,641.2","53,249","55,361",Kernel Time
256 5000 run 2,95.8,"807,947",15,"53,863.1","53,185","55,713",Kernel Time
256 5000 run 3,95.9,"805,385",15,"53,692.3","53,440","55,489",Kernel Time
256 5000 run 4,95.8,"805,065",15,"53,671.0","53,377","55,361",Kernel Time
256 5000 run 5,95.9,"807,876",15,"53,858.4","53,280","55,264",Kernel Time
256 50000 run 1,97.5,"1,676,877",15,"111,791.8","110,881","112,577",Kernel Time
256 50000 run 2,97.4,"1,674,031",15,"111,602.1","110,753","112,705",Kernel Time
256 50000 run 3,97.4,"1,679,149",15,"111,943.3","111,169","115,617",Kernel Time
256 50000 run 4,97.4,"1,673,838",15,"111,589.2","110,913","112,353",Kernel Time
256 50000 run 5,97.4,"1,674,560",15,"111,637.3","110,912","112,416",Kernel Time
256 500000 run 1,97.5,"13,074,674",15,"871,644.9","868,710","877,829",Kernel Time
256 500000 run 2,97.5,"13,069,242",15,"871,282.8","867,590","880,870",Kernel Time
256 500000 run 3,97.4,"13,063,485",15,"870,899.0","868,230","876,646",Kernel Time
256 500000 run 4,97.5,"13,065,245",15,"871,016.3","867,494","878,439",Kernel Time
256 500000 run 5,96.9,"13,064,688",15,"870,979.2","867,649","877,313",Kernel Time
32 100 run 1,96.2,"524,711",15,"34,980.7","34,752","37,344",Kernel Time
32 100 run 2,96.1,"524,618",15,"34,974.5","34,752","37,120",Kernel Time
32 100 run 3,96.2,"525,321",15,"35,021.4","34,816","37,377",Kernel Time
32 100 run 4,96.2,"525,127",15,"35,008.5","34,816","37,088",Kernel Time
32 100 run 5,96.1,"525,443",15,"35,029.5","34,784","37,504",Kernel Time
32 1000 run 1,93.9,"525,318",15,"35,021.2","34,688","36,769",Kernel Time
32 1000 run 2,93.9,"525,318",15,"35,021.2","34,656","36,768",Kernel Time
32 1000 run 3,93.9,"525,512",15,"35,034.1","34,657","37,024",Kernel Time
32 1000 run 4,93.9,"525,894",15,"35,059.6","34,657","36,960",Kernel Time
32 1000 run 5,93.9,"525,543",15,"35,036.2","34,656","36,993",Kernel Time
32 10000 run 1,94.6,"610,599",15,"40,706.6","40,000","43,041",Kernel Time
32 10000 run 2,94.5,"610,982",15,"40,732.1","40,000","42,976",Kernel Time
32 10000 run 3,94.7,"606,854",15,"40,456.9","39,968","42,784",Kernel Time
32 10000 run 4,94.7,"604,775",15,"40,318.3","39,905","42,017",Kernel Time
32 10000 run 5,94.4,"611,744",15,"40,782.9","40,000","42,848",Kernel Time
32 100000 run 1,97.7,"2,985,719",15,"199,047.9","197,057","201,025",Kernel Time
32 100000 run 2,97.7,"2,973,781",15,"198,252.1","196,929","199,521",Kernel Time
32 100000 run 3,97.7,"2,976,695",15,"198,446.3","196,802","200,002",Kernel Time
32 100000 run 4,97.7,"2,978,805",15,"198,587.0","197,121","200,257",Kernel Time
32 100000 run 5,97.6,"2,904,226",15,"193,615.1","190,560","199,200",Kernel Time
32 1000000 run 1,97.6,"25,564,068",15,"1,704,271.2","1,698,891","1,715,115",Kernel Time
32 1000000 run 2,97.6,"25,551,082",15,"1,703,405.5","1,698,027","1,715,243",Kernel Time
32 1000000 run 3,97.6,"25,551,921",15,"1,703,461.4","1,697,803","1,713,996",Kernel Time
32 1000000 run 4,97.6,"25,548,115",15,"1,703,207.7","1,698,060","1,717,452",Kernel Time
32 1000000 run 5,97.5,"25,555,762",15,"1,703,717.5","1,697,795","1,717,412",Kernel Time
32 500 run 1,93.8,"524,550",15,"34,970.0","34,592","36,897",Kernel Time
32 500 run 2,93.7,"524,198",15,"34,946.5","34,592","36,864",Kernel Time
32 500 run 3,93.7,"524,806",15,"34,987.1","34,592","36,960",Kernel Time
32 500 run 4,93.4,"526,663",15,"35,110.9","34,624","38,017",Kernel Time
32 500 run 5,93.7,"524,834",15,"34,988.9","34,592","36,801",Kernel Time
32 5000 run 1,93.9,"545,190",15,"36,346.0","35,616","39,457",Kernel Time
32 5000 run 2,94.0,"536,520",15,"35,768.0","35,328","37,377",Kernel Time
32 5000 run 3,93.9,"539,048",15,"35,936.5","35,392","38,049",Kernel Time
32 5000 run 4,94.0,"538,820",15,"35,921.3","35,360","37,856",Kernel Time
32 5000 run 5,94.0,"540,611",15,"36,040.7","35,392","38,272",Kernel Time
32 50000 run 1,97.6,"1,806,223",15,"120,414.9","115,969","125,537",Kernel Time
32 50000 run 2,97.5,"1,806,960",15,"120,464.0","116,097","123,713",Kernel Time
32 50000 run 3,97.5,"1,805,010",15,"120,334.0","116,225","123,009",Kernel Time
32 50000 run 4,97.6,"1,802,736",15,"120,182.4","115,361","121,953",Kernel Time
32 50000 run 5,97.6,"1,808,774",15,"120,584.9","116,864","122,241",Kernel Time
32 500000 run 1,97.5,"13,086,613",15,"872,440.9","869,957","878,406",Kernel Time
32 500000 run 2,97.5,"13,085,501",15,"872,366.7","868,999","877,478",Kernel Time
32 500000 run 3,97.4,"13,090,045",15,"872,669.7","869,158","877,862",Kernel Time
32 500000 run 4,97.5,"13,083,135",15,"872,209.0","869,734","880,102",Kernel Time
32 500000 run 5,97.3,"13,027,407",15,"868,493.8","862,529","876,993",Kernel Time
4 100 run 1,96.1,"520,902",15,"34,726.8","34,528","36,224",Kernel Time
4 100 run 2,96.1,"520,871",15,"34,724.7","34,560","36,288",Kernel Time
4 100 run 3,96.1,"521,097",15,"34,739.8","34,560","36,321",Kernel Time
4 100 run 4,96.1,"521,256",15,"34,750.4","34,560","36,289",Kernel Time
4 100 run 5,96.1,"521,028",15,"34,735.2","34,560","36,321",Kernel Time
4 1000 run 1,94.6,"595,432",15,"39,695.5","39,520","40,833",Kernel Time
